W0923 09:14:10.771000 10042 torch/distributed/run.py:874] 
W0923 09:14:10.771000 10042 torch/distributed/run.py:874] *****************************************
W0923 09:14:10.771000 10042 torch/distributed/run.py:874] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0923 09:14:10.771000 10042 torch/distributed/run.py:874] *****************************************
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]Loading weights: 100%|██████████| 311/311 [00:00<00:00, 8864.50it/s]
Loading weights: 100%|██████████| 311/311 [00:00<00:00, 8719.85it/s]
09:58:17 step 2840/3020 loss=0.7378 acc=0.750 records/s=17.3
09:58:35 step 2860/3020 loss=1.1032 acc=0.500 records/s=17.3
09:58:53 step 2880/3020 loss=1.5597 acc=0.500 records/s=17.3
09:59:12 step 2900/3020 loss=1.5098 acc=0.375 records/s=17.3
09:59:30 step 2920/3020 loss=0.6096 acc=0.875 records/s=17.4
09:59:48 step 2940/3020 loss=1.0884 acc=0.500 records/s=17.4
10:00:06 step 2960/3020 loss=2.6076 acc=0.500 records/s=17.4
10:00:24 step 2980/3020 loss=1.0454 acc=0.625 records/s=17.4
10:00:42 step 3000/3020 loss=1.3327 acc=0.500 records/s=17.4
10:01:01 step 3020/3020 loss=0.5024 acc=0.875 records/s=17.4
10:04:34 test hr@1=0.4795 hr@5=0.8063 ndcg@10=0.6925 mrr=0.6277 nll=1.6805 brier=0.6362 ece=0.0187 coverage@p95=0.1161 T=1.193 tokens/record=930
/usr/local/lib/python3.12/dist-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
